2015-05-04 05:39:44,007 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:44,009 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:40:26,264 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:26,268 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:40:26,271 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:26,273 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:40:36,834 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:36,835 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:40:36,838 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:36,839 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:40:44,876 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:44,877 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:40:44,879 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:44,880 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:40:54,359 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:54,361 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:40:54,366 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:54,367 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:41:30,931 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:41:30,932 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:41:30,936 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:41:30,937 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:41:50,188 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:41:50,189 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:41:50,192 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:41:50,193 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:42:12,158 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:42:12,160 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:42:12,163 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:42:12,165 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:51:17,284 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:51:17,306 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:51:17,308 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:51:17,309 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:51:34,536 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:51:34,537 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:51:34,539 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:51:34,540 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:51:53,973 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:51:53,975 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:51:53,977 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:51:53,978 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:53:54,978 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:53:54,979 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:53:54,983 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:53:54,984 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:54:07,868 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:54:07,870 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:54:07,875 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:54:07,876 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:54:19,785 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:54:19,787 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:54:19,789 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:54:19,793 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:55:04,373 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:55:04,374 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:55:04,377 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:55:04,378 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:55:38,134 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:55:38,136 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:55:38,139 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:55:38,140 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 06:02:09,899 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:02:09,900 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 06:02:09,902 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:02:09,904 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 06:02:48,626 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:02:48,628 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 06:02:48,631 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:02:48,635 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 06:04:18,271 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:04:18,272 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 06:04:18,274 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:04:18,274 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 06:04:40,023 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-05-04 06:04:50,519 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Hadoop\workspace-course\MaximumClosePrice
2015-05-04 06:04:50,520 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean package install
2015-05-04 06:05:31,498 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxClosePrice:MaxClosePrice:0.0.1 @ C:\Hadoop\workspace-course\MaximumClosePrice\pom.xml.
2015-05-04 06:05:32,699 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:05:32,700 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 06:05:32,703 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:05:32,704 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 06:05:42,394 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxClosePrice:MaxClosePrice:1.0 @ C:\Hadoop\workspace-course\MaximumClosePrice\pom.xml.
2015-05-04 06:05:43,528 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:05:43,529 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 06:05:43,531 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:05:43,532 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 06:05:47,029 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-05-04 06:05:47,054 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Hadoop\workspace-course\MaximumClosePrice
2015-05-04 06:05:47,055 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean package install
2015-05-04 06:20:35,646 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PageRankPig:PageRankPig:0.0.1 @ C:\Hadoop\workspace-course\PageRankPig\pom.xml.
2015-05-04 06:20:37,602 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Avro:Avro:0.0.1-SNAPSHOT @ C:\Hadoop\workspace-course\Avro\pom.xml.
